seed,t_160,t_200,t_240,t_280,t_320,t_360,t_400,t_440,t_480,t_520,t_560,t_600,t_640,t_680,t_720,t_760,t_800,t_840,t_880,t_920,t_960,t_1000,t_1040,t_1080,t_1120,t_1160,t_1200,t_1240,t_1280,t_1320,t_1360,t_1400,t_1440,t_1480,t_1520,t_1560,t_1600,t_1640,t_1680,t_1720,t_1760,t_1800,t_1840,t_1880,t_1920,t_1960,t_2000
1,44.44022745665077,45.674723348489394,45.41474939810784,46.19758576518562,45.71048476237642,46.541010142278026,46.45846958967737,45.6164656111708,45.484915627528714,44.88333897728864,44.47850063163616,44.93639579109269,43.753890039343425,43.267390533141466,42.610787036947706,43.51662113756075,44.20973357452544,44.74262874694582,44.75480265730503,45.37365808227241,45.30898785913758,47.20390601467439,48.24278109267927,49.47809568282295,50.44151189766838,50.13848883745053,49.60042886324576,49.2064317838989,49.21945113972957,49.27788012728052,48.06741239187178,48.10120404090216,48.161777367927634,47.98347558811819,45.763601492790016,45.20550349485281,43.58865005401185,42.34636119192642,42.46894245636135,42.643581734435976,43.06397018594983,43.96416356831468,43.4916204751146,43.43083129246209,42.999674436307714,42.359177406058095,42.31029592605774
2,43.234170650020424,44.0912291462134,44.037747339943195,44.41093118482975,44.8838491961516,45.42819470415863,45.23710810697589,44.9029307646101,44.85468983516244,45.04700381395968,44.691829194312376,45.0170290651445,43.74207918429574,43.24435302311793,43.5913224210779,43.31925804303015,43.0364154684305,43.167997045665444,42.97408315530802,42.85482351811233,43.46721364204172,43.307140748011406,43.255529713750065,43.163858716397996,43.06089628431702,42.918826964137764,42.85346530745914,43.344546891103406,43.47333691059919,44.649821479546,45.22246844389804,45.73577858673541,46.02124220870132,46.57638355729254,45.39390456458856,44.92240737961465,44.90221494467492,44.69148071546181,44.50960972316213,44.08737336840539,43.11081814006887,42.81333763638155,42.51760891064411,42.350810781399176,42.70088314300521,42.48743394972401,43.9277043467057
3,44.99455044577081,44.9937892203671,44.92084504402726,44.485396734914325,44.69223017803634,44.79976778898999,44.41976790545688,44.26858672151747,44.64143813781562,44.75405228225101,45.35088116353413,45.202069128013584,44.77597708690266,45.05819052913912,44.74365482988958,44.78359613220555,45.020493466851285,44.27124424541802,43.878920999393245,43.396837589495796,43.440765772334856,43.34948213721765,43.991918438191036,44.2647600390337,44.82948818544922,44.65125543823898,44.12915919828126,44.57198426747524,44.67176792567309,45.39678647988172,45.45732514828259,46.295740227820204,46.35929417986209,46.295896689086504,46.395856064044935,46.49799734317068,46.70301065037826,46.005721131503385,45.25484547722788,45.19424555265403,45.386078588992504,44.742545654529366,44.930468655831426,45.26821397751956,46.01067411579993,46.07009868248065,46.97391850571021
4,44.178604771187956,43.92048221901986,44.99986102771675,44.8723702492123,44.20267690105347,44.52477475360036,44.94942328689307,45.65355641244078,45.436034272535125,45.17073252494508,45.39617603587202,45.376345483215275,45.585572029232296,45.87344315382443,44.81147306699632,44.88561979350187,44.692613173732354,43.84403630588197,43.53793744064234,43.09603278590457,43.17312325491932,43.49339200523543,43.05692348190407,43.55991441400595,43.47344861706195,43.58533161567254,44.129008792003646,44.027303607650396,44.4719079257671,44.8749705502451,44.8997316825834,45.7986214610295,45.7362561443736,45.78702423897263,45.88128456134713,46.326840819377225,45.29464063027244,45.2630493590194,43.910938660022005,42.416406102147135,41.9281369528193,41.88168608906243,41.48361826541869,42.01267485886653,42.22551215773303,42.08124851099283,42.59409995054774
5,45.26650473543474,46.094653668862186,46.11266123192084,46.30232604522421,46.83582061534553,47.41006935907747,48.459569884521876,48.726871297147085,48.96699950797721,48.332838858118606,47.694300093077054,47.02045485832596,46.421130023522096,45.583057973733595,45.10454177305771,44.45175851723521,43.87804055743579,43.472815803711136,44.647789064657466,44.620651735260395,44.28191207128563,44.7376961574852,45.13886970105232,44.71928469732153,45.40814280781973,46.28193401184862,46.99005240978376,47.345168951101755,47.20631561573978,47.341834478965524,47.30890497793594,47.55571078035906,47.46624363797382,47.30405985020483,46.77743370448805,46.617736587245574,45.050860430576,44.536174061897576,43.73978375796229,42.56561016255112,42.75729657182532,43.38633396177824,43.14769980965662,42.60506019978763,42.56519265546169,43.1212346332141,43.32922864298576
6,43.78432706324475,44.08667777010902,44.80050316761257,46.06168157604914,46.556617574422155,46.31729737781895,46.5466744661465,48.1870303070239,48.75072947803872,48.23188331782839,47.589950502340606,46.31587619995582,45.729598791208915,44.84883328265645,44.26655856251966,43.734980798878816,44.412159813931375,45.609544715234556,45.43129088506139,45.71230066734385,44.79864849898694,44.526857813097706,44.14500018313774,43.55725245540276,42.46902721294911,42.802039605446794,43.42472664220432,43.70657353975661,45.12104636767944,45.081466954823334,45.510886937070524,45.27711128225703,44.14655184573469,43.48105157978826,42.86744709277108,41.33748724931319,41.494457431612034,41.58451448378487,42.212907505944685,42.437323870255064,42.564920591906684,42.48266544266216,44.0238846793705,43.240085788644436,43.92743921518241,42.524051196321565,42.357522426508304
7,42.94612858446403,42.23820357074316,41.756064165493264,40.83327455763357,40.69955229758512,41.47249982426224,42.72987436842037,43.327550492263434,44.48889790902317,45.68552476972161,46.60344209314148,46.28416036557673,46.30973491870631,45.78776823497717,44.7646135502547,45.36784508455813,45.46699209944271,45.32716059238024,46.0613247596677,44.42582942705512,43.50253631863162,42.310970970674994,42.586136895975955,43.65905006734156,45.74850875399229,46.5337082971842,46.98386134871642,46.55969275159908,46.46022652737843,46.48311745204636,45.772777880367684,43.27405497122762,43.68285026635694,43.610485784622114,43.64786024567313,43.80467980743968,44.59310523167849,44.85384311200198,44.47981995743861,43.755058619908205,43.64522402268404,43.9216763947314,44.24307531999522,43.86662890810971,42.83829297992533,41.606409941312606,40.477498358678844
8,44.84712048961685,44.33455147812051,44.27021267938273,43.884642502907965,44.51266598879184,44.70383409979557,44.66005749619856,45.271209092728995,45.63107637894798,44.79941495370973,44.89901827365669,43.842355975513065,44.718745908990186,44.94337176891389,45.153819713861076,45.311501684172654,45.290591480620726,45.04313926987379,44.46990215836766,44.63440552832256,44.836212102790725,44.75274800649093,45.62383330041563,45.52057376389755,45.78283856070333,45.86103122287763,45.11928436291252,45.21838919572727,45.33750612832185,45.817870362611075,44.90399890474016,44.69911163366055,44.058229858195546,43.768460874222946,43.35075524395707,42.70406249956858,42.738209818929455,42.34579520191446,41.775795607392354,41.965792717895845,42.611934473734856,42.62671356112216,43.20093184049087,43.81385338691621,44.07223197208076,43.9876553265897,44.41200495094514
9,42.11585394239367,42.41882730032931,43.83999291565936,44.71311920090182,46.41667143647656,47.04704772313267,47.71534656332956,46.70586803323349,45.63764980501069,45.19623675025247,45.36789626967658,44.9501661065767,45.59718530034228,46.32192637948117,46.70100036841377,46.87689859261993,46.56807130498051,47.20398278686826,46.78164805559199,46.881135756560006,46.30480785241507,46.68536200109217,46.309914438597026,45.61847496219153,44.41200449023505,44.625962148218605,44.72782726546401,43.807341114774374,44.005363333453076,44.71995791424899,43.63396428697866,42.35175798747121,40.850292940103415,39.75051236151094,37.12583911624003,36.98400952080252,39.032049841492764,41.54479314408792,42.93312816252409,44.08473850439537,45.98079706993515,46.086035147815004,46.326049351367686,46.72840239043033,47.884409642493516,45.58420383932995,44.99024125903268
10,39.465581037103526,40.33099701612025,40.79046086412064,40.91105920351625,41.98895431358488,41.86382188349273,42.52729040342253,43.350906121722154,43.40788146586716,43.728690068221496,42.391322139414555,43.30645602547339,43.048324307459715,42.881245899879914,43.25480692359494,43.463261964364186,44.30638222345835,44.754008940648745,45.51148299524461,45.28165288897251,46.194136615564965,46.94865216228215,47.76303243941609,47.66225933292332,48.275856785563136,47.437521179269226,47.08764709015946,48.090266980657624,48.41208169344013,47.998770227252564,48.11161667416171,46.871089773033354,44.90301227423761,43.164121277944766,42.83819213225908,42.351639979625844,42.70981523563114,43.64730026399019,44.13657381528401,45.38221148885829,44.832388642860586,44.976205702378046,45.290480407951556,44.04837476046143,43.15247923001063,41.17089417412239,40.22320509012238
11,42.72064106063908,42.94592875694727,42.83264622589839,42.98712721339291,42.91636132817983,43.11371192091623,42.87223226802132,42.90200269667397,43.002268691532024,42.56866020040428,42.71014244708192,41.96889030435161,41.99799395251239,41.966563135284325,42.344188499133836,42.48245759081906,42.68641724412003,42.742466221147346,42.646706838065626,42.95056843055313,42.89768687191701,42.79975383499351,43.27282155678031,43.53328881561495,42.76753570579609,43.322669153674234,43.21067104799052,43.45855429120769,43.38387491476537,43.827269648433415,43.58835981156812,44.14497914760087,44.445091269690906,44.512783826729596,44.52515337898952,44.34398969696418,44.061018811791584,43.68973549496469,43.99183523164638,43.369186412028945,43.304207313191704,43.36439456495594,42.95364516316963,43.4969424451056,43.61121867933925,43.44718672325448,43.61656266491289
12,43.9618323838053,43.166283728141465,43.40429463646621,42.64059162943824,42.86846015755504,43.165003131676,43.3270781945274,44.12424246798052,44.06628943910173,44.65001613861018,45.338259643319084,45.56183719230168,45.84303553819896,45.56725036756707,45.93476159713361,45.96876275625452,45.74907725225884,45.305478173372755,44.97653166214352,44.600192744096105,45.51910838386029,45.560580270552215,45.79153188340026,45.77716550424903,45.62416827188157,45.0903882447587,44.88944865228504,44.37998386396821,44.84762957772099,44.76210199309007,45.33953114122249,46.7339803099401,47.44878052194392,46.62457468865059,46.08120516031402,45.81971440977146,43.22001876303919,42.17320501503983,41.02902381408382,42.25695286013308,43.27584485312568,44.453503816823094,45.10508058558662,45.24460975923782,44.6660497402207,43.59898349268716,43.00292988818921
13,42.417493338017685,42.36008065054852,42.82982532755986,44.066368613722446,44.09790250878975,44.292658274372386,44.58514644363065,44.66568179070762,44.973358468278136,43.685191856632,43.49084296295513,43.934954580829455,43.382015287218884,44.08921613028983,43.936326105345344,44.437086975461504,44.65812314565763,44.393811161955654,44.77848479769243,45.370814729934885,46.202307896473286,46.004215649204575,45.91727922704664,46.315994344762174,46.96601641641874,47.2994762830357,47.05994699267377,46.86133919605695,46.553335657023254,45.95494601803113,45.116579902311194,45.5359161277245,45.25938691131292,45.3990702642081,45.39001293860165,45.42546911037033,46.21210033397384,46.89516637157221,47.00387547865439,46.914726568298974,46.44833393323697,44.973117951512464,43.497345915526026,42.90862950557741,42.96126892193067,41.18323563253323,40.35845408488493
14,43.8776530473323,44.03681038385861,43.69148886371168,44.05025417441042,44.23004517077685,43.85435777416483,44.39778801566707,43.75063357746608,44.54675493655661,43.696727058949854,43.949504307836065,43.57542488255735,43.71066494096196,44.28522769265285,44.29092259575955,44.83412396891369,44.335380184077394,44.49682068645577,45.755640746433244,46.819593285015884,47.44638437206447,46.77785491658707,46.22918432641179,46.78172148824028,45.292212827820265,44.345894020695006,43.75602281270541,44.275158213869034,44.40390989494127,44.57491222239253,44.630185393858504,43.50798543454093,42.530279610719084,41.35101513639898,40.043760765214444,39.84944819079098,39.87262682810582,39.79412014080022,40.75408048020312,41.45715386434456,42.51974409013584,42.31976753240037,41.87654880819243,41.82845897532154,41.75184004268692,43.1501262562257,43.26837039663929
15,42.536219108797916,43.23560008499901,43.65448551482459,44.18778982677585,45.01832665245183,45.00706786447091,45.568933808155805,45.366779725700844,45.70794233886863,45.167338176246545,44.40020290302058,45.09751961423309,44.793102367883066,45.38552129147733,46.30055652367713,46.22334932515016,46.39013409428996,46.5364656790191,46.30108048989867,46.34287016643309,46.540842770653825,45.815970659769576,45.499702456039344,45.18870496110968,45.403433347608605,45.47194958105213,45.79617687820797,45.97021355520961,46.63740357452542,46.33092036923992,46.4516944754453,46.36443257219206,47.35002232605303,47.475208000757746,47.21341462590507,47.68382809036815,47.46890604742613,46.011399555838935,45.07652597820336,44.61722798619128,43.49435067595476,43.75480306983568,43.025185979649535,43.592223018616586,43.320657691858145,42.785798404028874,43.02394398418418
16,46.11691933702842,46.046920152965754,45.03532340654548,44.75982360962635,44.77929548152843,44.64007847385302,44.0948103456459,44.34835756985876,43.960708174305104,44.08283991784987,44.83184240077698,44.8059927466119,45.042011331094905,45.521608020358066,45.8863463292606,45.3558630410561,45.71495973012957,45.72181111974302,45.77494491349669,45.71942671991377,45.293603694870896,45.04072597129846,44.92570859717562,44.76189036436939,44.37254163484494,44.1929581309364,43.97888846286299,43.616658214343936,43.57389136616359,42.38326819817572,42.333600679733216,42.31641400846111,42.09383401475034,41.82419653069928,42.263155370252555,42.014631511068416,42.79682334890581,42.79385605299919,43.20827050206639,43.52001321370305,43.760021479763225,43.97908386132691,44.407296779422424,44.09289380114542,44.13856925208234,43.59290574738498,43.84946747191837
17,41.94333297617771,41.54673490419344,43.68055073655713,44.05722049828545,45.072071855476906,45.369033604982455,44.2727127987833,43.661854355518514,43.77630329154045,43.79925916235596,43.03986348889732,43.529258365373835,42.94583698525062,43.45171655827177,44.44016641762591,45.021357620378616,46.6682422993099,47.468379487522036,47.6072118661083,47.50201602450449,48.22368015621612,48.35120301295012,48.57879963411779,49.72802365998787,49.35742058632182,48.34208297799223,48.579129777209204,46.72993509788382,46.6345397480849,45.93587594732344,45.867270008166926,47.77629603233382,47.126624539788345,45.58945920645573,44.32240447281576,42.01873004102518,41.611509184392276,41.222734107782934,41.31881713763101,40.93299099927779,41.066034285938834,41.56947859402975,40.764803370833874,40.023294402337314,39.8387841309924,41.414063116587826,42.0781318785766
