seed,t_160,t_200,t_240,t_280,t_320,t_360,t_400,t_440,t_480,t_520,t_560,t_600,t_640,t_680,t_720,t_760,t_800,t_840,t_880,t_920,t_960,t_1000,t_1040,t_1080,t_1120,t_1160,t_1200,t_1240,t_1280,t_1320,t_1360,t_1400,t_1440,t_1480,t_1520,t_1560,t_1600,t_1640,t_1680,t_1720,t_1760,t_1800,t_1840,t_1880,t_1920,t_1960,t_2000
1,43.78716206223075,44.67482017934873,45.32397121518975,45.91473545289587,45.952646030883336,45.694845743792506,45.52293098003953,45.04175214832083,44.63642719198552,44.760122416718346,44.625083679092214,44.42355313796127,44.33097130981234,44.28635555081501,44.024411397509226,43.494413009609325,42.85721506514222,42.944093222317896,43.82872109173291,44.603004409756174,45.963966272768616,47.40106439009054,49.05124185041289,50.08208201719001,50.24666468897354,49.602041407762464,49.358253489418395,49.57422974042917,49.32613038300771,49.12589559157996,48.42784907645034,48.07953161394051,48.26562304333789,47.68369886741721,46.11749169220109,44.82144062927745,44.21768767936215,43.04248800289731,42.11185664900965,41.79588641134288,42.2000019280332,43.36781999745193,43.861875663965314,43.65239191718734,43.478364230716664,43.34871579535296,42.372822495733885
2,45.16845733701193,42.549023812600915,44.08970210180116,44.62177114594186,45.16083139709729,45.447700746155036,45.46332677473933,45.42232252885714,45.251338429691906,45.15014191714239,45.05692033056888,44.78652311631112,44.34970656751666,44.052807886911,43.57373541619463,43.24397121697786,43.33534378672342,43.52802291314405,43.65704671090868,43.673455675589246,43.6435580303174,43.43750774426439,43.20753588061963,43.27330184473319,43.47322570616819,43.61483504339354,43.732643680755594,43.89124013655126,44.340017671035476,44.97757201865952,45.724912023017616,46.159734081135376,46.75656172058284,46.87791792311233,46.656897338289454,46.21361731145353,45.695847800456505,45.12946085535804,44.36994592562442,43.78911555245095,43.3617967263743,43.02500897742974,42.663903485063834,42.57960684192377,42.659007104872636,42.81858148137485,43.25431463516264
3,44.591567014031305,44.6255925730649,44.609279599820766,44.517070568392406,44.57306828327174,44.5923189712531,44.57004868344511,44.56219822627494,44.42234369968035,44.43212581682466,44.50457603485864,44.504810839546714,44.64110136898654,44.801402432024446,44.812562362711745,44.78003139810561,44.78251102393114,44.626159472398705,44.29590037411002,44.11304849376643,43.97155978155057,43.96655044780309,44.22522956752385,44.39262618336655,44.605364345379584,44.75903530888652,44.807011695332676,45.025880939602835,45.34537957649411,45.541131879990836,45.543194421203076,45.62928302033636,45.46409445013756,45.34203497983993,45.08743279639218,44.87451936131843,44.60058165959738,44.47769411194442,44.61278569483825,44.80288953573478,45.037601346929556,45.33081682866253,45.639153525291185,46.07104154923394,46.45664865964239,46.5055648413249,46.37318870774209
4,43.32056884620417,43.42357729974849,43.58553163048147,43.81249114349621,44.15876875811743,44.54852710453819,44.96417283535787,45.28677845252105,45.41931785953628,45.44385879660796,45.62719416915252,45.88385304798245,45.96354307190095,45.86321075692118,45.64250575078382,45.467352308065585,45.36820784072236,45.04135242314213,44.67216768813612,44.477288637473066,44.2858512896393,44.11199956232364,43.833475310819615,43.51261429734122,43.33346532152748,43.403218192450694,43.66608276299487,44.13598066645197,44.530149072941974,44.87321123534777,45.257098357381,45.72524078624868,45.85109905625069,45.86877655915074,45.85876934358807,45.647755016970855,45.21775133215952,44.68044436743872,43.88620338770169,43.108410112065116,42.6364323644106,42.49301992056034,42.66925811537168,42.98478794956785,43.116051672929295,43.47201716702312,43.912519088899266
5,44.341448647388056,44.3179856658588,45.6162236461694,45.42334586892908,45.89723623483295,46.68139433800536,47.26851003310362,47.696734345374516,47.72627641733114,47.51856387940579,47.334568506449656,47.10671831260265,46.624930848352065,46.22938455700247,45.80226356625108,45.4832494179998,45.099894397572456,44.7562365994827,44.51205975034808,44.346709445005885,44.13280008008418,44.021353200885045,44.38220285805323,44.52832753783947,44.94185806269356,45.741668838802056,46.61839674443663,47.490372727704994,47.84978422581648,47.87516808090703,47.88721385248474,47.848143428579476,47.7354128951577,47.84908376865056,47.74234222350172,47.090936351898854,46.28807037347818,45.48004898697051,44.63286021612091,43.870805148167186,43.068854863039796,42.43979705968085,42.071388922881006,41.92858960202835,42.28276456291697,42.99507202224324,43.77445496904189
6,41.41941815915248,42.83174838058012,44.27094621444631,45.52983079815801,46.52732406332257,47.15802598551882,47.664498124436456,48.04166951199537,48.0884932558668,47.70146458361559,47.15257588111841,46.499329047208725,45.54817165286811,44.75425473889567,44.281746809895274,44.16584703254379,44.246756728952356,44.121281771576555,44.08874171560021,44.268466360595895,44.48675538976291,44.70845989836702,44.76098367426563,44.70998894768032,44.46965335215196,44.24907944316689,44.38283213589163,44.57117417163099,45.16199017831071,45.56608198916448,45.341712386262806,45.02888989817205,44.587802708828676,43.96096911003377,43.550893958638326,43.08581970072948,42.662287444812115,42.391527586896004,42.18513498471258,42.33454087290917,42.70267953202185,42.72959348899282,42.583704634183604,42.50670216918772,42.605090018322684,42.57702486937007,42.27594302917867
7,47.67583704513036,41.9036995375247,41.84497845258079,42.14987959590581,42.698656320425705,43.207170957617286,43.65145458114428,43.93653226146579,44.147259104876404,44.377169286100354,44.79652416557791,45.396459121740726,45.724831155008005,45.853469207226276,45.77563053857038,45.634160486739425,45.51634021992305,45.315341462656285,45.17063915084291,45.146669779712354,45.3075821720118,45.60291616450636,45.85970317518837,46.021603194474544,45.979396282650235,46.118593379116774,46.23982645760644,46.35844350337038,46.314972932379355,46.2722497646302,45.96058540898217,45.378167236223305,44.66893612540703,44.178007843788926,43.91004853091992,43.87927437967339,43.83814673929845,43.60485240315055,43.6046872378219,43.637431055026155,43.454609840997776,43.13287765163819,43.011904937422706,42.885513216616324,42.65193509189841,42.22793761688726,41.661005747438274
8,43.89348229451499,44.16280436680763,44.42088227242823,44.77748977202475,45.06636037398538,44.86635443657574,44.825289773278264,44.893951389493616,44.6856706958881,44.354893206867416,44.63004028703637,44.850647161902856,44.990675779826766,45.25100492041077,45.48009535938187,45.75337124988069,45.978108560586904,45.9327248321606,45.75986282889342,45.592855037544055,45.50205613418893,45.72252249627049,45.98757722303066,46.25816567369673,46.365207771061506,46.216916882451265,45.817687171903934,45.50761701255757,45.29981853279589,44.833338071943295,44.22126420986034,43.74543662463397,43.459207781444704,43.241247818024114,43.275790657767686,43.20813660812385,42.797582657895994,42.36654344693363,41.955759163797765,42.4095605443349,42.8741673173948,43.375436561925696,43.76054811994496,44.15254952468395,44.662667512618256,44.81725722356469,45.072286859629685
9,40.07047026989786,41.43092567448612,42.80826921007852,44.14766025808782,46.019112003198984,46.8251799407891,46.88825451452087,46.577884242736054,45.87541883870174,45.156851393752575,44.98254102620752,45.37231274223765,46.15029467939526,46.977469157868065,47.41792470642452,48.22816167184218,47.43111864380363,47.00911611660159,43.41834771820979,46.53679272370825,46.54086487267833,46.708890724678454,46.672051325358616,47.04865124544455,46.37575723439933,45.47579007932705,44.43959757548154,43.79073658865519,43.85639324862899,43.973623895026954,43.39815123457237,42.72888415242568,41.37438746432041,40.337090386318366,39.376873923457495,39.85059613357504,41.82113601750927,43.52461764652342,44.03864683622,44.55930696035761,44.77591677903221,44.93979046091713,44.979511439908926,45.71738202420845,47.082874402444475,47.01148528999104,45.78281079609267
10,39.02788872474262,39.48947489390693,40.87584883320133,41.87940246450069,42.814999947187786,43.336332226745384,43.52292539255622,43.67813070943119,43.603415452488996,43.43805618663694,42.71102800187469,42.864585178461795,43.11460252744489,43.75514940130686,44.31508980618072,44.86090251332113,45.346814160342184,45.41717219212076,45.33604408316537,45.49605569492804,46.0976920656969,46.47288163404671,46.702466797606284,46.81394318659419,47.0026036658313,47.220480491698076,47.16959276247011,46.79797619134796,47.07050541504334,46.98978744742573,46.76519390646378,46.087006911233246,44.66991614327696,43.02035211052612,41.63203796580864,40.52392164798511,40.87594591618313,42.16295916138441,43.20094457901064,44.57402823702346,45.78554815352343,46.23244146374618,45.88323961835373,44.66131067881614,42.66428995637161,41.39854463729635,40.87879063772327
11,41.15172482510301,42.13323250975039,42.48070517496654,42.69942897372243,42.94187775946316,43.299791342812604,43.31770792125939,43.15665020900121,42.904338089355115,42.65997191549256,42.347095479166995,42.00936962667701,41.894076481365744,41.80370871971674,41.89593535495193,41.96595131319182,42.287804832239175,42.582251444690534,43.080378617407014,43.54337465214657,43.90739415562515,44.10831959889417,44.15845199216691,44.33120926419399,44.19916963439436,44.26188987486201,44.11921612974547,43.97582964685822,43.81478538307444,43.81413328141253,43.66483644846809,43.68246398381205,43.860332744531476,44.054314510334244,44.044166264574656,44.28744973663228,44.532689012450746,44.48155297268482,44.53300393768759,44.249378112532646,43.986498906458486,44.06935796514925,44.14656488633337,43.976656855978334,43.9107258285257,44.02914506060965,44.04736173672634
12,43.362472460178864,43.23773846845078,43.22475822667711,43.229995102672625,43.24741356913333,43.416213327043245,43.72657740613951,44.0189860939723,44.191810705389564,44.397009111554894,44.721924066784155,44.9875824933277,45.22825075754368,45.43022733236592,45.54263916061944,45.65311684142468,45.5661303501731,45.54930980022154,45.57031720129741,45.47268808318007,45.39610538904366,45.625998215977475,45.521141003958355,45.07625941753117,44.69611608029413,44.54685156282799,44.547737294971505,44.64783641850197,44.69285209806744,44.65910709603505,44.545472548494516,44.3212590049066,44.00996559286905,43.874092316247406,43.717521096909756,43.67389245645464,43.96511343647612,44.00391419461854,43.697386590123116,43.43643127743177,43.16687513009735,43.054380010053315,43.234443039101855,43.471995440091526,43.53972747279099,43.47982932545655,43.23293865244449
13,40.219718865905364,43.24195008444835,42.8953164917987,43.48573062147741,43.88727544455962,44.11894488143385,44.12247578507363,44.09376458192963,43.94775091249405,43.854248770102004,43.851700849174264,43.930276009630944,44.01866446135245,44.1874424300914,44.21680272557629,44.447574432193804,44.70305278518307,44.63510684838442,44.74738883378752,44.893898895471835,45.272523622095505,45.385012030861226,45.54407858839715,45.77753738746421,45.8356144103846,46.21181758591119,46.70183451546206,46.86675977966153,46.729665370646885,46.56234326895174,46.18830290814322,45.867493322469535,45.42809548594505,44.962017242939794,44.6965202964352,44.56035231008498,44.58716277411421,44.83566205931311,45.10065648410891,45.27616809323648,45.27229925407465,44.63220719680516,43.86267666525527,43.368777163807415,43.050297831659435,42.49999178283714,41.712408341934854
14,44.45555256157686,44.043175249918995,43.71839472070137,43.678558827996795,43.487841412342135,43.656544535883434,43.87032204272372,43.910577419542996,44.02082607810106,43.984581030210556,43.857299292124836,43.346610789902265,43.54342570858678,43.63773273984372,43.72747423202988,44.17841148190896,44.51123593618694,45.075473366219036,46.066115756153515,46.940229686221436,47.52135588970177,47.76401542009709,47.654798406674054,47.05756429389334,46.35596314089543,45.53568920021748,44.689130652613606,44.596350165977576,44.625576509964525,44.53278820981678,43.92122870268561,43.05176909662092,42.17573158472576,41.617904451508146,41.33589317280407,41.58818066390409,41.84778729922566,42.42543812700381,42.98672144595083,43.123964342234615,42.80434714267305,42.19700399251557,41.91449950034531,42.31400886372653,42.54041316507568,43.05965474208024,43.39059881040966
15,42.61500149195094,43.18677594778196,44.08452052867687,44.1588029064423,44.70449351860618,45.16559617633908,45.62750398566557,45.565151390751076,45.238550067967616,44.880228216641804,44.662710241591455,44.74340990993487,45.18279349811833,45.47561723690772,45.90621022905087,46.00157784726994,45.90422326896812,45.90238973977209,46.117400459031096,46.00814383468748,46.077597141162705,45.99224602474641,46.09273115896055,46.22431194947939,46.38393893573495,46.11819655871927,46.19346766716496,46.18970114880158,46.188098172178364,46.23717014693613,46.426200204705864,46.70459008728205,47.14767964948851,47.263009698506266,47.456520601999756,47.36378278812993,47.102999434341996,46.29685382522514,45.588004629327415,45.13043078298178,44.6473027443496,44.107698373230015,43.62095085824267,43.52182524781649,43.81291048202089,44.20784542419393,44.823216996824854
16,45.43695164501464,45.2405393617285,45.063361998233795,45.00263711857024,44.99849728066068,44.96100493643996,44.94724859414422,44.97208243791312,44.956270468820286,45.09427338566046,45.22724920384362,45.43451732096889,45.543463128413734,45.542863824838484,45.57642720775935,45.48514312343004,45.425949775735354,45.263547697436856,45.00182266170965,44.71387539122069,44.428157125002706,44.094270938220895,43.77774446102487,43.52125154161074,43.46166493110741,43.52235813215366,43.44782154498248,43.52382299222597,43.4888322628057,43.328670995207204,43.22867310866119,42.949283657897034,42.76698589304708,42.69508393836982,42.70890406332798,42.813810189544306,42.90649631504743,42.95973546430215,43.019143431569894,43.11008823433272,43.3080719984001,43.49232280940759,43.45650537610539,43.41079872486522,43.40966563963455,43.30273336215273,43.04570752830961
17,39.90702297212777,40.89822090536547,43.30524299175542,43.90173672475251,44.34405202925277,44.86662392936263,45.10805239608552,44.640308828984935,43.96531127090919,43.50951613546319,42.99548472406881,42.751944327572886,43.71640956733909,44.49358726446583,45.112284002507806,45.47244715048647,46.23831293637994,46.70289500222316,46.402232691490745,46.81583770299088,47.88374214412129,48.364684015748345,48.80894221730082,49.43026915917698,49.250699744844624,48.20105321540241,47.30066662416204,46.241917397175044,45.72846710608578,45.343646449041536,44.45678055159244,44.71891186994207,44.5868948601016,44.42893054533791,44.12519623936294,43.318617270840825,42.426034392608486,42.19531881976533,42.847257672846546,42.96466645044642,42.49533449766352,41.84386437384454,41.54566522030319,41.20951092296685,41.00910522946098,40.92497430946207,41.958604235865664
