seed,t_160,t_200,t_240,t_280,t_320,t_360,t_400,t_440,t_480,t_520,t_560,t_600,t_640,t_680,t_720,t_760,t_800,t_840,t_880,t_920,t_960,t_1000,t_1040,t_1080,t_1120,t_1160,t_1200,t_1240,t_1280,t_1320,t_1360,t_1400,t_1440,t_1480,t_1520,t_1560,t_1600,t_1640,t_1680,t_1720,t_1760,t_1800,t_1840,t_1880,t_1920,t_1960,t_2000
1,43.9250980162657,45.322297963102834,45.607383177863554,45.85638599977501,45.93289168787894,46.06183920494787,45.91739800523318,45.748489086806174,45.5853939457583,45.55766824507054,45.63655654351292,45.74396642931088,45.667964755434035,45.43716331856279,44.95433627680299,44.37572452730531,44.150016613156296,44.02732036557512,43.851291458467784,44.220186166679355,44.582845568801474,45.426793434958626,45.98298479344931,46.5569775952135,46.841071784408484,47.31992730647777,47.629067179637886,47.70583182113179,47.68364725676906,47.59110433728748,47.61907782432835,47.68703484159448,47.648553253793935,47.25243222666177,46.299365751926565,45.483271083133495,44.84484304010635,44.215873031919116,44.20623652541571,44.346861468864084,43.685537816080966,43.36324095048015,43.73759995323308,43.737495760849626,43.778985658787875,43.14598620896877,42.58308990340471
2,43.076954776914576,43.58767116269303,43.858536334772865,44.174392249582446,44.472337817873154,44.72078783619763,45.00320702017271,45.104254075340776,45.06999354065239,44.87501202841051,44.93814541336227,44.95912784520435,44.878324005258136,44.51804892326048,44.36853075522295,44.154730940509566,44.047083362949564,43.97951715380029,44.10482357249476,44.11287894443047,44.08527995671599,44.29658105575435,44.248872830944016,44.070933629026506,44.24109851983252,44.19979452454535,44.378457048218344,44.629505823813936,44.894541042075396,44.957771799111214,45.350105263029235,45.525774566150595,45.69348822970735,45.68959825829713,45.482949844408445,45.19757486897729,44.63966680474874,44.30615137365899,43.902973270183296,43.650228927186284,43.376956320795315,42.728784473543264,42.392025193476144,42.335783321269254,42.186894781346886,42.460132850069805,42.76535957342449
3,43.62331975668784,43.78730233402654,43.79709087542717,43.6891653773593,43.821506083285726,43.91768611464613,44.07550803039889,44.01055175233335,43.938513846157576,44.160537749158635,44.21781417604447,44.37989182036216,44.58165358748481,44.63289898545098,44.65399252684056,44.67064766808116,44.5749684629843,44.374084233859996,44.1331324022043,43.9859168695206,44.00933880981269,44.06126661048149,44.320498273327864,44.643856271623356,44.88101849692848,44.94009070090493,45.06112426820606,45.35685211396822,45.402215665545235,45.601966720709164,45.3695584000826,45.26853633119069,45.29189176791289,44.769831488685256,44.68635422246044,44.238348923086015,44.06629493264483,44.24321297419051,44.229596149794915,44.48664867177068,44.98029331531692,45.21175653882785,45.63171532900616,46.146861524851616,46.65056360619696,46.47332892554812,46.69492654861718
4,41.715149000904084,42.52154162514805,42.81143132166322,42.972145353516645,43.26244124499101,43.77901593932151,44.399860480109794,44.73084409557885,44.64316033202535,44.94555342945549,45.32459859445811,45.448363309863026,45.31549322062595,45.186510584303925,44.97890087857246,45.01627949675557,44.75332361024272,44.63004211427441,44.656797077770285,44.689087604698024,44.83997343177363,44.772202054323174,44.716262545466414,44.57351747862216,44.212040508058735,44.224632007162164,44.14757945873672,44.328222961204666,44.669803767043014,44.940426839761244,45.12141235074927,45.240712531146286,45.20775790540933,45.02611520518933,44.879231822168435,44.39531910171474,44.0412997605983,43.263904419417294,42.55896383841706,42.28984774430559,41.85646025028194,41.791639678907146,41.96453641549344,42.333405575414595,42.73648459400366,43.04198677762298,43.40776967153362
5,44.90820419744808,44.80921726852394,45.24554564437781,45.845742909216796,46.168941859116345,46.8951065585698,47.4716270870574,47.72412598750256,47.6709878684173,47.47457278479448,47.356936043891146,47.19862884225426,46.94975503594721,46.76081666178058,46.32634818693222,45.90344244026356,45.347909969903455,44.90517212047034,44.39052226328632,44.19220841891878,44.01454776770739,43.9994752464825,44.20233375791723,44.50107323470563,44.93948608722363,45.67935575086882,46.46182906721436,46.93422484069779,46.85198325003502,46.73820381119436,46.72367978573866,46.38429235639974,46.255320636586546,46.505999526746066,46.33700999178265,45.91856379197883,45.22234210272762,44.556540646549465,43.978075035751054,43.317041081509814,42.70246370636561,41.93157905209061,42.12504316359331,41.80286981784563,42.28906270114394,42.46537651618714,42.87490331723491
6,41.02723672599706,42.909243869092066,43.9999181337099,44.92205129277818,46.05200539500159,46.82067454164682,47.301207600808546,47.691394824526874,47.88226402344382,47.90156604799505,46.97154873954563,46.212369094623526,45.848570511234776,44.82971149522656,44.07074855143107,43.742499523829906,43.98506472196453,44.36631539698487,44.96033408580145,45.24534422451077,44.56552358208184,43.96017971165587,43.32201548974193,42.68170027375687,42.529699937646406,43.17842397845362,43.16641037873436,44.43892736875575,44.75599106782096,44.66442403757488,44.49346552306178,44.14405244541214,43.33596941367091,42.70132484925452,42.0026117618946,41.689128018489406,41.432120579009364,42.03930291058382,43.4891317984664,44.737457320900944,44.572735906840514,44.98679352899846,44.98344841945176,44.20887484885872,43.218093782243386,42.766878320475094,42.46931871269426
7,42.3682445251445,42.28042945123761,41.92981860414809,41.83388634121026,42.206187030510925,42.59970343585211,43.073782161027616,43.54602994227757,44.3307079611522,45.09526312020129,45.69522933911346,46.06266837366459,45.96202529666501,45.57626202931603,45.01432394242297,44.94241109067624,44.78980308980339,44.61763722035297,44.5744331080901,43.99763275351918,44.0208223499871,44.06573886925086,44.41878931245799,45.081349438148294,45.25910697322156,45.50004190563907,46.27289651573912,46.55217704673649,46.57354157435473,45.91096374674043,45.11334658945502,44.173951550123455,43.71691208011387,43.59887522596512,43.46316130315934,43.5715689023098,43.34155727047295,43.37824500779614,43.57599878228397,43.565636254347844,43.30863870423322,43.43735590186943,43.156519919109805,42.60023428102644,42.15054389079936,41.67198141357924,41.624290427691406
8,43.440582271657576,44.238566256370525,44.65094012970802,45.13910385101687,45.41472491642659,45.71659686904791,45.51243523294616,45.65566400267196,45.608132519321096,45.12053962417907,45.009107102230395,45.23355246587516,45.254183621524774,45.21651473880848,45.461619435827814,45.77137161103559,45.821779471051066,45.79911687075969,45.68961153242829,45.66998032818557,45.86051373710812,45.41772659049624,45.35001549657194,45.365420582657194,45.64371526186305,45.5837732617936,45.39406098717666,45.3286150096804,45.29348106942693,45.03538244508458,44.68825810721577,44.32740926112808,44.13600434633552,43.89881294008153,43.5686288701864,43.22380504175613,42.60002186706905,42.07545347463029,41.766101771564095,41.84226505376837,42.02747140827545,42.16484330111108,42.29175320293963,42.47258292683431,42.781324024091596,43.018091055215166,43.20976410670451
9,39.35015579253481,41.76980450469696,43.23636658123009,44.57684866669314,46.01148518580799,46.820777140173035,47.18483849599162,47.091998666198435,46.37357997860185,45.466370150736196,45.0721761813012,45.05825327007951,45.68206933772059,46.517164112406924,46.723205661821495,47.49267186509398,47.641819586508014,47.30198269605822,46.62106376632893,46.56968230016048,46.45384164201198,46.178908402778006,46.06053596156361,45.481101765312815,45.005278382325436,44.38963779475711,43.88187837103624,43.247243063075004,42.97028601523761,43.271819468383384,42.98054468655675,42.23368084647643,41.697300817601786,41.05765044492359,40.45291325572508,40.89298167259898,42.05797913584361,43.14302033073889,43.940687288993814,44.815815918224686,44.95573530651275,45.294919093759695,44.67845646554935,44.67754615675959,45.25402405970461,45.408062119498425,45.15849337984354
10,39.23814020922145,40.543243720434454,41.27424986243435,42.1046022052851,42.496934841102316,42.70642857541438,42.6697925795401,42.90151446351045,42.859973280159934,42.83941461791473,42.77525560576254,42.84303721040022,43.33389424780993,43.873204868581354,43.979290395628404,44.604593871797576,44.7406335835122,44.7604404991415,44.86505603381706,44.91366257157585,44.78971296861443,44.67296062095106,44.46973031577904,44.63407942252517,45.38587429271203,45.69879269242175,45.92204529032803,45.91997809990089,46.26230999297861,45.9796562534098,45.780040667131665,45.31278335119015,44.1993628205239,42.63393613756898,41.81967527034893,40.94230911079888,41.43217557640729,42.30718657545932,43.624067104632786,44.404073945342034,45.29639192195729,45.81889624119166,45.88326169329614,45.310097102409635,44.188919617126864,43.11466523696984,41.82415261562618
11,42.74708107005444,43.47333558118637,43.700539776762625,43.62492170792983,43.68927692840798,43.42180834027322,43.527192538467375,43.253786238416915,42.89114902628946,42.58267744276975,42.15418820347339,41.85835062614516,41.63944361284031,41.480416161622834,41.484394784116475,41.68653694658521,41.93149888610455,42.3821302180819,42.742373733620205,43.06943720068392,43.39906315474932,43.85215821385045,44.09332883069648,44.07740116332124,44.071552099151916,43.76484362567763,43.21693992695725,43.077221509302596,42.96866485704294,42.593720950127874,42.38853452447297,42.63188050153677,42.85507056532669,42.8709444634185,43.16405880761739,43.21260012470091,43.28687763825768,43.66090949445937,43.57449448638232,43.795615868968824,43.67749527786586,43.833154024442344,43.45836056834036,43.30062397350185,43.142162763543055,42.81321189571059,42.40538252943462
