t,h_star
160,43.40902445040818
200,43.83768053168586
240,44.33735567643285
280,44.51275010392115
320,44.69308101507932
360,44.82345734621778
400,45.02691231889608
440,45.065892312008394
480,45.09789437354443
520,45.14448993407057
560,45.14568995802323
600,45.129082324010746
640,45.09368098117574
680,45.10590253422082
720,45.13177737848988
760,45.1258365622561
800,45.08170787027486
840,45.10373168672385
880,45.12560548549
920,45.12132204250012
960,45.126523631088794
1000,45.140244153840364
1040,45.12596229077497
1080,45.0858577479335
1120,45.06630775216395
1160,45.04154870760243
1200,45.016984427410065
1240,44.94567440734638
1280,44.885181812422765
1320,44.83602876390922
1360,44.78542796725701
1400,44.736137803314456
1440,44.68938538566879
1480,44.64483779270622
1520,44.536574565923075
1560,44.46361997727184
1600,44.34895849280862
1640,44.291856045728984
1680,44.24494539441378
1720,44.1922711890971
1760,44.126120749839636
1800,44.084040361178744
1840,44.01148357028533
1880,43.95506362052227
1920,43.901718344607474
1960,43.863756214617055
2000,43.80580948378904
